no,text
329,"【5/24起 西雅圖增飛三班】

想去星巴克創始店當文青？☕ ️
或是登上太空針塔欣賞美景？🌃
還是去派克市場吃海鮮看丟魚秀？🦞

自2019/5/24起，
長榮航空增飛每週三/五/日桃園-西雅圖航班，
週週十班帶您前往翡翠之城！

詳細資訊請點👉：https://goo.gl/PbkvPS"
330,"【🎉長榮航空六度蟬連AirlineRatings.com全球最安全航空公司】

小潔很榮幸與各位分享好消息📣，近日由國際知名航空專業評鑑網站AirlineRatings.com公布最新飛航安全評比結果，長榮航空連續六年榮登全球Top-20最安全航空公司的行列。

✈長榮航空堅信飛航安全是我們的核心價值以及對旅客的承諾，也是全體同仁努力的首要目標。

📖… More更多詳情，請參見長榮航空企業社會責任報告書：https://goo.gl/K5hFCw

#長榮揚翼安全無慮追求安全絕不妥協
#安全是航空業最重要的一項堅持
#安全是一條不可被跨越的紅線
#企業社會責任報告書出處章節：1-1健全的安全管理體系"
331,"恭喜2019年旗開得勝🎉
澳洲公開賽加油💪
詹詠然 Latisha Chan
January 12, 2019 at 7:21 AM · Facebook Creator for iOS ·
2019年第二週，迎來第一座年度冠軍🏆
在荷巴特比賽海風和氣候溫差是最大的挑戰，能夠克服環境因素拿下冠軍，是一種對於自己的肯定。
下一站，澳洲公開賽。
2nd week of the year, 1st 🏆 of the season.
#生涯30冠達成
詹皓晴 Angel Chan
Hobart International - Australian Open Series"
332,"【2019年上海春節加班機開賣囉!】
長榮航空新年報喜，為您獻上春節加班機✈~
桃園、高雄出發至上海，任君挑選!
🏃‍♀快點手刀搶購 →https://goo.gl/YEBDCY"
333,"【長榮航空「旅行」承諾】

長榮航空「旅行」👜不變的飛行承諾，一直以來，給你最頂級的服務品質，馬上帶你回顧歷屆長榮航空眾多明星商品，已及2019年新款服務用品發表會~

#長榮航空的用心你看得到💗"
334,"APPLE APPLE APPLE 小潔要連說三次因為很重要
眾所期待的🍎青森(AOJ)🍎於今日(1/11)開賣囉！

手刀買票 採蘋果去：https://www.evaair.com

小潔💗的青森景點推薦：
A-Factory買買買、弘前城蘋果藝術創作、弘前城櫻花春吹雪
#17JUL青森開航
#TWD8450起(未稅)… More
#A321帶你飛飛飛

🔹EVA Mobile APP 走這裡
IOS：https://goo.gl/zHmLx7
Android：https://goo.gl/jTWFPg"
335,"【長榮波音787夢幻客機首航全紀錄✈】

2018 NOV 01是航空迷熱血沸騰的一天💗
台灣首架長榮波音787夢幻客機首航香港

即便桃園機場的天空下著濛濛細雨，但也澆不熄每位乘客的滿腔熱血
隨著機長感性的機內廣播，飛機平穩起飛展開這段夢幻旅程，
也記錄下台灣航空的新篇章~📖

🎁小潔呼叫與我一樣的熱血飛機迷們，1/11 24:00前… More
🔹分享此篇紀錄片
🔹留言告訴小潔你愛787的原因
就有機會獲得長榮787相關精美小禮物喔！

#20181101BR867
#1030TPE/TAKEOFF
#1200HKG/TOUCHDOWN
#長榮航空787夢幻客機"
336,"長榮航空帶你在藝術間悠遊全世界➡留言抽好康

藝術饗宴心靈💗 旅遊開拓視野👀

2019台北當代藝術博覽會，展出來自全世界九十間頂尖畫廊的藝術作品，讓你透過雙眼，徜徉在全世界的藝術之海🐟🐠🐳

只要於1月10日AM11:59前，本文留言呼叫朋友，說出你心目中的藝術之都，就有機會獲得「台北當代藝術博覽會」雙人票券。

EX「 @阿榮 立榮航空 UNI AIR… More，佛羅倫斯是我心目中的藝術之都~你也這樣覺得嗎?」

#1月18至20日台北南港展覽館1館
#長榮航空支持藝文活動不餘遺力
畫作：Atsushi Kaga
Melancholia with food,2014"
337,"【小潔提醒大家不要攜帶肉品返台】
常常在國外趴趴造的粉絲們～
在海外購買伴手禮的同時，✨千萬不要違規將肉品攜帶回台✨
以免收到鉅額罰款喔！💸
#守護台灣豬豬你我有責🐖
#最高可罰100萬元
行政院農業委員會
December 22, 2018 at 9:00 AM ·
《 非洲豬瘟常見 30 題QA 🤔🤔 》
有想問的問題可以在留言處詢問唷 ❗
⚠⚠⚠ 再新增10 題 ⚠⚠⚠
⚠⚠⚠ 再新增10 題 ⚠⚠⚠
👉 更多的QA-非洲豬瘟專區
http://asf.baphiq.gov.tw/
👉 快來這邊認養豬豬桌牌：
https://goo.gl/h4fnhP… More
用途極廣～
辦公室、早餐店、菜市場都該放一個！
👉 也要來聽聽看豬農怎麼說：
https://goo.gl/xGyBmC
21年前的口蹄疫就夠恐慌了
非洲豬瘟更沒有疫苗可醫
勿當豬隊友 🥊🥊🥊"
338,"小潔跟著美味走，來自三萬英尺高空的報導✈️
2019年的第一天🌅，長榮譚府宴美味飛上青天，
小潔跟隨著黃清標大師的腳步，
一同搭乘飛往LAX(洛杉磯）的航班跟飛查餐囉❗️
在黃大師的指導下，空服員們完成首班機上譚府宴的覆熱與擺盤，餐後黃大師還驚喜現身，與乘客們一一致意喔😄
#20190101BR006
#2019長榮機上美食
#這不是深夜食堂"
339,"【超蝦趴服務大公開～2019年新款過夜包究竟多厲害】
搭啦~你沒看過長榮航空新款寶石紅Rimowa與Salvatore Ferragamo過夜包！
●白與紅的奇妙相遇，是新款寶石紅Rimowa過夜包
●採用台灣古早馬賽克花磚設計，是展現工藝之美的Salvatore Ferragamo過夜包。
不管哪款都內含實用的乳液、護手霜、護唇膏等備品，享受機上精品生活趁現在！
#典藏長榮過夜包
#小潔不會說家裡蒐藏了歷代過夜包"
340,"【吳季剛x長榮航空星光聯名，時尚睡衣驚艷亮相】
尖叫~~長榮航空破天荒邀請到國際知名設計師吳季剛先生，為長榮航空設計時尚睡衣！小潔突然覺得時尚離我好像也沒有那麼遙遠了！
吳季剛以溫暖的灰、藍色系為主色調，並以精品洋裝斜高領四扣設計為發想，大家可以依照自身喜好搭配出不同的領口摺法，覺得冷就扣起來、覺得熱就解開~
快上機體驗舒適又兼具時尚的空中睡衣吧！
#新款睡衣將於2019年1月中旬與你機上相遇
#小潔手刀上機拿一套"
341,"【超蝦趴大公開～空中享用藝品級人氣甜點，免預約、免排隊！】
黃檸檬甜點名店人氣超高，還在為平常訂位訂不到、排隊排不到氣pupu嗎？快買張機票，長榮航空帶你在空中享用！
長榮航空將義式風情帶上三萬英呎高空，邀請黃檸檬藝術甜點魔法大師Andrea Bonaffini為長榮航空設計四款甜點，將於春夏秋冬不同季節推出不同口味，準備好驚艷你的味覺了嗎？
#減肥永遠是明天的事
#黃檸檬YellowLemon"
342,
343,"【超蝦趴服務大公開～譚府官宴飛上天，黃大師上菜了啦！】

你可能沒有想過，以做工用料精緻聞名的台灣譚府菜，竟然可以在飛機上享用，長榮航空做到啦！

長榮航空特邀美食屆台灣之光，於新加坡有「廚界教父」的黃清標大師返台為顧問，大師展現十足誠意，為長榮航空設計了一整套飛機餐，連大師的拿手名菜「譚府金湯雙寶」也一起搬上機囉！

是不是光看就流口水了呢？想知道還有什麼名菜一起上機了嗎？手牽手上機吃飯囉~

#小潔邊寫邊流口水
#準備好開吃了嗎
#譚府宴"
344,"為提供旅客更安全的飛行服務，長榮航空設立訓練中心，投入人力物力，持續導入航空界新型訓練方式。

以飛航組員訓練為例，長榮購入各型最高等級的全功能飛行模擬機，並進行飛航組員機種轉換訓練、升等訓練與定期複訓，落實「追求安全絕不妥協」的飛安政策，並成為國內率先獲民航局核准以實證訓練（Evidence-Based Training）模式進行飛航組員定期複訓的航空公司。

更多詳情，請參見長榮航空企業社會責任報告書：https://goo.gl/K5hFCw

#企業社會責任報告書出處章節：3-2職能教育與訓練"
345,"【📢重磅跨界 重量級人物登場📢】
黃澄澄金湯雙寶，
清爽不膩譚府宴，
標準超高飛機餐。
+
黃色繽紛下午茶，
檸可先不要減肥，
檬生買機票念頭。
+… More
吳人比我更蝦趴，
季出超時尚睡衣，
剛穿上就秒睡著。
#長榮時尚新態度
#小潔想得好辛苦"
346,
347,"【📢重磅跨界 跌破眼鏡的重量級人物 直播揭曉報你知！】

長榮航空展現時尚新態度，攜手三位國際級大師，為各位帶來前所未有的飛行時尚新體驗！

想知道是哪三位大師嗎？12月27日下午兩點，長榮航空直播揭曉，敬請期待！

#小潔愛賣關子"
348,"溫馨聖誕夜🌲 留言祝福抽好禮💝
呵呵呵~我是聖誕小潔🎅🎅
在聖誕節的前夕，為大家帶來聖誕禮物囉~🎁

於12月26日 11:59 AM前👉本文留言給一位親友，說出溫馨聖誕祝福語
就有機會獲得2019 KITTY年曆、北歐激情之夜雙人音樂會門票喔！💖

EX ：「@阿榮，祝你鈴鈴鐺，快樂要來到，問候先送到，祝你好運到」
… More
長榮聖誕驚喜計畫：https://goo.gl/SuLD4C

#MerryChristmas
#2019KITTY年曆
#20190105北歐激情1930PM"
349,"告別2018，告別你難忘99的旅人夢，
迎向2019，新年新願望，讓自己遠9高飛、說走就走！
馬上留言輸入你的星座，
讓小編推薦你明年遠9高飛的好去處，
還有驚喜優惠碼等你拿唷！
遠9高飛驚喜價:
桃園-沖繩 最低TWD3,888元起(未稅)
桃園-洛杉磯 最低TWD20,223元起(含稅)… More
桃園-倫敦 最低TWD15,014元起(未稅)
桃園-香港 最低TWD3,082元起(未稅)
桃園-浦東 最低 TWD5,741元起(未稅)
桃園-新加坡 最低 TWD6,006元起(未稅)
#長榮航空票價促銷一直到1/12唷!
#2019遠9高飛現在就購!
#全航線限時優惠!
#加入LINE官方帳號還可拿優惠碼折價500元!"
350,"【長榮""帕加瑪""回憶錄✈️】

資深長榮粉一定不陌生❤️
長榮機上的睡衣除了舒適更是與日俱進的時尚
橫掃倫敦時裝周的台灣設計師—詹朴
也曾為長榮的帕加瑪時尚增添了一抹如天空般自由激盪的藍

在茫茫睡衣海之中🌊
身為長榮粉的你最喜歡的是哪一套呢？"
351,"還記得10月22日長榮第一架波音787-9新機發表會直播帶給你的感動嗎?
長榮航空別出心裁，將長榮航太第三號棚廠打造成Cave(洞穴)的形式
讓觀眾四面八方都被黑幕圍繞著，彷彿置身另一個世界🌌
抬頭還能看見絢爛的星空🌟
隨著音樂環場屏幕升起，787-9新機呈現的那一刻震撼全場。
想知道會場是如何打造的嗎❓小潔為你帶來場地布置縮時影片！
💟讓我們重溫一下
👉787-9新機發表會花絮：https://youtu.be/pIoGxFc9vRg
👉787-9新機發表會直播：https://ppt.cc/fgXwfx"
352,"🔊省時方便又自在，行李託運自己來
即日起，長榮航空於桃園機場第二航廈出境樓層
第16、17號櫃台設有自助行李託運服務囉!

更多相關資訊，來來來往這邊走➡https://goo.gl/ZbxLKV
#長榮航空自助託運
#小潔以後出國前又有更充裕的賴床時間了欸"
353,"【機上過夜包回憶錄✈️有它！再也不怕夜的黑🌙】
為了提升旅客們在機艙內的就寢品質😴
長榮和Rimowa、Georg Jensen等各界知名品牌合作推出過多款夜包
小潔細數所有款式，多到眼睛都花了！
它們的共通點就是內裝備品應有盡有
外觀更是拿出去讓你走路都有風的高質感
長榮粉絲們曾經有被哪一款生火到嗎?，曬一下分享吧！🔥🔥🔥
#典藏長榮過夜包
#長榮機上過夜包回顧
#旅人的好朋友"
354,"We wish you a merry Christmas!🎤🎵
高雄機場長榮航空貴賓室門口準備好迎接聖誕🎄
在耶誕節即將到來的前夕
高雄機場長榮航空貴賓室門口
已換上充滿節慶氣氛漂亮的閃亮新衣🌟
👉從高雄機場搭機時，別忘了前來這喜氣的佈置前打卡
上傳FB與大家分享搭機旅程的節慶氣息!
#高雄機場
#長榮航空貴賓室
#聖誕節打卡點"
355,"朝聖紐約時代廣場🌎
眺望大峽谷的壯麗✨
與海龜同游在宿霧大海🐢
走訪清水寺感受千年古都的軌跡⛩
在塞納河左岸追尋法式浪漫♥
你2018年所有未完待續的旅人夢，讓長榮航空帶你在2019年完成😘
📣全航線優惠期間限定：2018/12/17-2019/01/02
📣現在就馬上購➡https://goo.gl/Ck7oD6
… More
另外‼加入長榮航空LINE官方帳號➡https://goo.gl/b8Z949
可再領取優惠碼，最高折500元哦🤑🤑

#2019年遠9高飛現在就購
#長榮航空全航線限時優惠
#快手刀加入長榮航空LINE官方帳號拿優惠碼"
356,"【🍴 機上美食回憶錄✈️你吃過哪幾道？🍴】
俗話說：抓住一個人的胃就能抓住一個人的心❤️
小潔翻山越嶺、走過大江南北
就是要緊緊抓牢長榮航空旅客們的口味😋
從始祖鼎泰豐牛肉麵到SEASON ARTISAN PÂTISSIER杏桃烏龍茶雪酪、聶魯達蛋糕，別忘了還有現行廣受乘客喜愛的的中村京料理，道道都是經典！
快告訴小潔，揪竟哪一道精選料理最讓你欲罷不能、回味無窮吧？
#長榮機上餐點回顧
#好漢要提當年食
#小潔吃好吃滿"
357,"ALL I WANT FOR CHRISTMAS IS YOUUUUUU🎤🎵
你準備好迎接聖誕🎄了嗎？
長榮航空邀請""你/妳"" 來松山機場打卡
一起感受濃濃聖誕氣氛❄❄❄
完成報到手續，與美美的長榮航空迎賓中心聖誕小花園合照📸
記得留下美好回憶喔❤

#打卡送限量小禮
#松山機場
#聖誕節快樂"
358,"TEST TEST 1 2 3 看得到嗎！小潔不藏私好康報報來囉📢

眼看著聖誕節🎄就要到了
還沒找到理想的禮物送給阿公阿嬤爹地媽咪兒子女兒嗎
不要遲疑了！長榮航空免稅品預購網精選多項聖誕好禮🎁
搭配冬季折扣，全館滿額再享優惠，讓你當所有人的聖誕老公公🎅

📌活動優惠：
滿USD100就送機上8折免稅品優惠券
滿USD168或購滿2件商品(含)以上就享85折優惠… More
滿USD300就享8折優惠（部分商品除外）
📌活動期間：即日起至2018年12月31日

還不立馬手刀上網預訂您的免稅商品嗎➡mall.evaair.com
#買愈多省愈多都在長榮航空
#長榮航空讓你當大家的聖誕老公公"
359,
360,"【2018粉絲參訪活動　#聖誕驚喜計畫】
人生，本來就是一場旅程✈
家人，則是我們最好的旅伴👨‍👩‍👧‍👦

今年，長榮航空邀請了6組親子粉絲來到總部參訪，
共度一個驚喜不斷的聖誕佳節🌲

快跟著小小粉絲的腳步，一起去找神秘的聖誕老公公吧！🎅
Merry Christmas & Happy New Year🎉
#MerryChristmas
#長榮航空鼓勵大家散播歡樂散播愛
#跟著小潔一起回顧吧
#母子篇：https://bit.ly/2PrEySg
#父女篇：https://bit.ly/2E9Vz1j
#爺孫篇：https://bit.ly/2EmKif8"
361,"🗣【L】isten to me! 🙋‍♀🙋‍♀🙋‍♀
👉【I】t's really important!‼️
👀【N】ever miss it again! 💪
🤜【E】specially tonight! 🤛
別說小潔有好康都不說!
快點打開你的LINE APP📱
然後把【長榮航空EVA AIR】設為你的LINE好友👫👭👬
記得要把LINE通知打開喔!📣… More
接著設個鬧鐘訂在今晚19:59⏰
因為20:00即將有好康要跟你說啦!🕗🕗🕗
還在等什麼?! 快去加入【長榮航空EVA AIR】LINE好友!💨
加好友捷徑走這邊💁‍♀ ➡️ https://line.me/R/ti/p/%40evaair
#小潔已經把手機錢包信用卡都準備好了 💪
#今天晚上8點我們長榮航空LINE上見😘😍 🥰
#20181207晚上8點 #大家快點tell親朋好友👍
‼️喔對了對了‼️
#長榮航空的LINE千萬不要封鎖喔🙅‍♀🙅‍♀🙅‍♀
#之後隨時有好康都會在上面說喔😋😋😋
#大家趕緊來加長榮為LINE好友喔❤🧡💚"
362,"🌟變~變~變~ 是在變魔術嗎?🌟
身為 Star Alliance星空聯盟 的一員，長榮航空與各會員航空公司緊密合作，期許提供您更加順暢的旅程體驗，點擊影片搶先一窺星空聯盟即將提供的最新科技。
#細節至關重要
#星空聯盟
#STARALLIANCE"
363,"Hello Sam Chui 歡迎搭乘 Hello Kitty 彩繪機👨‍✈
😍讓我們與知名民航評論部落客Sam Chui一起登機，來場甜蜜可愛之旅吧！❤ 影片看這裡：https://goo.gl/URc6qQ
#SamChui也難逃粉色魅力
#新加坡台北航班
#機長笑容太醉人
#綠色飲品是長榮特調"
364,"【2019年長榮海博館冬令營-小小地勤員開始報名】

🙋‍♀長榮海博館 VS 立榮航空🙋‍♂
海🚢、空✈聯手推出長榮海博館冬令營

除了小朋們最愛的海事活動外、今年新增參觀松山機場櫃台劃位、托運行李等體驗，讓孩子們度過一個充實又難忘的寒假。

報名看這裡👉 https://goo.gl/qVRhrx
#招收對象國小1-6年級學童
BECLASS.COM
長榮海事博物館【2019年第九屆航海探險王冬令營-小小地勤員】feat.立榮航空活動日期：2019-01-25 - BeClass 線上報名系統 Online Registration Form"
365,"長榮旅行小妙招👜🛍🎒👜🛍🎒👜🛍🎒
出國努力買買買，擔心行李箱重量爆表怎麼辦?
長榮航空提供預付超額行李費，出發前先於官網購買，還可享9折優惠價，讓你玩到！買到！又省到！
#完全沒使用退費免收手續費
#還可更改同航點日期
🤓妙招看這裡：https://goo.gl/pbY43h
🙋‍♀發問前先看這裡：https://goo.gl/zAn3Cc"
366,"📣報告報告
長榮線上旅展倒數3天
12/3 23:59活動即將結束
12/4 將抽出商務艙飛到飽幸運兒✨🗺
今年抽中環遊世界機票的機會就剩這一次❗❗

還快
在去
等買
什票… More
麼唄

✅活動詳情看這 : https://reurl.cc/V5WDN

#要上官網或APP買票才能抽獎喔
#小紅衝太快跌倒了
#小潔好想當商務艙得主
#狀態顯示小潔還沒被抽到"
367,"【你不可不知的787夢幻客機23事~3C產品充電好方便！】
有別於其他機型，長榮航空787夢幻客機的經濟艙除了椅背的置物袋外，增加了雜誌架功能及螢幕下方的USB插槽喔！😍
#12吋螢幕
#好方便雜誌架
#3C產品不斷電
#長榮航空787夢幻客機"
368,"【你不可不知的787夢幻客機23事~六段式頭墊怎麼折都可以🤔】
長榮航空787夢幻客機的經濟艙，可調整頭靠墊上下、左右以及頸部支撐度！
晚安，祝你有個好夢～😴
#旅行頸枕無用武之地
#尖頭方頭都有合適的枕頭
#長榮航空787夢幻客機"
369,"【想坐商務艙 ? 我送你 !】

每趟出國旅行🛫
你是否都想擁有乘坐商務艙的待遇 ?
起飛前可以到貴賓室休息、在機上舒服地吃著牛排和躺平睡覺❗

📣現在有個大好機會
你不用再把它視為白日夢
也不必苦惱到底該刷哪張信用卡才能快速累積哩程
只要在12/3前購買長榮機票… More
真的就有機會抽中一年全球飛到飽商務艙機票✨🌍❤

活動時間所剩不多😎 快去買票 GOGO❗
詳情看這➡https://reurl.cc/WX0eL

#商務艙坐好坐滿到底是什麼感覺
#上官網或APP買票才能抽獎喔
#長榮馬拉松優惠碼用了沒
#長榮線上旅展活動倒數中"
370,"✈️【航班異動公告】
南京祿口國際機場(NKG)、芝加哥歐海爾國際機場(ORD) 因天候狀況不佳，將影響部分航班。
提醒您，近日搭乘長榮航空班機往返大陸、美國的旅客，前往機場前請先查閱長榮航空官網「航班動態資訊」，或手機下載EVA Mobile APP取得最新航班訊息。

🔹航班動態資訊~
南京-台北航班：https://reurl.cc/Rbo2D
芝加哥-台北航班：… Morehttps://reurl.cc/emopM
🔹更改航班日期：https://goo.gl/YzeAys
🔹班機實際到離：https://goo.gl/epggMw
🔹EVA Mobile APP
IOS：https://goo.gl/zHmLx7
Android：https://goo.gl/jTWFPg"
371,"【你不可不知的787夢幻客機23事~魔術大空間🤔】
長榮航空787夢幻客機的皇璽桂冠艙，座椅側邊的收納空間，讓旅客私人物品收納好方便！
#鞋子是小潔der
#長榮航空787夢幻客機"
372,"2019長榮航空帶你日本飛透透
名古屋、青森、松山陸續開航🛫

2019年6⃣月6⃣日桃園－名古屋航線開航囉
使用大家喜愛的波音787-9夢幻客機飛航。

第三季還會陸續增加桃園－青森、桃園－松山航線
2019就讓長榮帶你日本飛透透~🗾

#20190606名古屋BR128/127… More
#長榮波音787夢幻客機
#名古屋早鳥優惠NT$7,392元起
立即GO👉：https://reurl.cc/0xKRM"
373,"✈️【天兔颱風影響航班異動公告】
📣 受天兔颱風影響，部分航班可能受影響取消或異動。
提醒您，近日搭乘長榮航空班機出遊/返台的旅客，前往機場前請先查閱長榮航空官網「航班動態資訊」，或手機下載EVA Mobile APP取得最新航班訊息。
🔹航班動態資訊：https://reurl.cc/2oaEX
🔹更改航班日期：https://goo.gl/YzeAys
🔹班機實際到離：https://goo.gl/epggMw
🔹EVA Mobile APP
IOS：https://goo.gl/zHmLx7
Android：https://goo.gl/jTWFPg"
374,"2018 ITF台北國際旅展，11月23~26日登場📣

小潔帶來看展攻略：

㊙長榮、立榮航空聯合參展
㊙展場開啟藍芽功能可獲長榮優惠折扣碼
㊙展期買立榮機票，可抽一人獨得十張機票大獎
㊙現場一定要到VR實境體驗館，搭乘長榮航空787皇璽桂冠艙

#展場在南港展覽館一館別走錯"
375,"【你不可不知的787夢幻客機23事~操作更就手！🤔】
長榮航空787夢幻客機的皇璽桂冠艙座椅，除扶手上的中控鈕外，於座椅側邊多了一組簡易控制鈕，於全躺平的情況下，不需起身，也可調整椅背角度。！
#手短的人也不怕
#長榮航空787夢幻客機"
376,"還記得長榮職業解壓縮～空服、航勤篇嗎?
是不是讓你對航空業想了解更多呢？
🔹松山機場 與 🔹木曜4超玩 合作拍攝~「一日松機航務員」
將於2018年11月22日晚上21:00~23:00在YouTube木曜4超玩頻道有首播直播喔！由阿公- 邰智源來為粉絲們體驗松山機場的工作日常。

📍直接雙手奉上「一日松機航務員」完整版影片：https://goo.gl/s2H6Ka
📍來來來「木曜4超玩」抽長榮機票活動往這邊走：https://goo.gl/M2tecE

⭐小潔帶你回顧「長榮職業解壓縮」：https://reurl.cc/52GVq
台北松山機場 Taipei Songshan Airport
November 21, 2018 at 4:00 AM ·
📣各位觀眾📣
松山機場與 木曜4超玩合作拍攝的「一日松機航務員」即將播出啦🎊
先給小編來點尖叫聲👏
由阿公- 邰智源來為粉絲們體驗松山機場的工作日常✈️
大家是不是跟小編一樣期待呢🤩
想知道更多阿公與美麗學姊的互動內容嗎😆
記得鎖定松山機場及木曜4超玩的官方粉絲專頁喔😉
🎁驚喜加碼：2018年11月22日晚上21:00~23:00在YouTube木曜4超玩頻道有首播直播喔，敬請期待😊
#松山機場
#一日松機航務員
#先給大家看個預告😉
木曜4超玩
邰智源 邰邰的第一個家"
377,"📣各位觀眾📣
松山機場與 木曜4超玩合作拍攝的「一日松機航務員」即將播出啦🎊
先給小編來點尖叫聲👏
由阿公- 邰智源來為粉絲們體驗松山機場的工作日常✈️
大家是不是跟小編一樣期待呢🤩
想知道更多阿公與美麗學姊的互動內容嗎😆
記得鎖定松山機場及木曜4超玩的官方粉絲專頁喔😉
🎁驚喜加碼：2018年11月22日晚上21:00~23:00在YouTube木曜4超玩頻道有首播直播喔，敬請期待😊
#松山機場
#一日松機航務員
#先給大家看個預告😉
木曜4超玩
邰智源 邰邰的第一個家"
378,"【你不可不知的787夢幻客機23事~魔鏡私人收納櫃🤔】
長榮航空787夢幻客機的皇璽桂冠艙，椅背側邊收納空間，備有小燈與鏡子，可放置耳機、水等物品。！
#搭機也要美美的
#私人物品也有家
#長榮航空787夢幻客機"
379,"2019 SKYTRAX 網路票選活動開跑！

你已投下神聖的一票了嗎?🏆
趕緊選出你心中的最佳航空公司、最佳客艙座椅等冠軍喔。

✈投票看這裡：http://www.worldairlinesurvey.com/

🎉長榮佳話：https://goo.gl/GfzKBH
💡小貼士：SKYTRAX RESEARCH顧問公司為全球知名航空調查權威機構，每年對全球超過180家航空公司進行全面性的評比，項目包括機場服務、座椅舒適度、機上服務用品、客艙舒適度、餐飲服務、機內娛樂及客艙組員服務等，為旅客及航空業界的重要參考指標。"
380,"【你不可不知的787夢幻客機23事~為愛閱讀的人留盞燈💡】
長榮航空787夢幻客機的皇璽桂冠艙，讓愛閱讀的你自由的調整閱讀燈的角度！
#一盞燈的溫度
#讀過一本好書像交了一個益友－臧克家
#長榮航空787夢幻客機"
